Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
562,1,0,0,0,0,0,0,0,0,0,0.20202,0.272727,0.141414,0,0,0.0606061,0.464646,0,0.69697,0,0.333333,0.434343,0,0.454545,0.979798,0.343434,0.656566,0.434343,1,1,
563,1,0,0,0.0238095,0,0,0,0,0,0,0.015873,0.793651,0,0,0,0.15873,0.309524,0,0.365079,0.0714286,0.166667,0.166667,0,0.0238095,0.912698,0,0.238095,0.65873,1,1,
564,1,0,0,0,0,0,0,0,0,0,0.0319149,0.287234,0,0.0212766,0,0,0.297872,0,0.521277,0,0,0,0,0,0.882979,0,0.425532,0.265957,0.723404,1,
565,1,0,0,0,0,0,0,0,0,0,0,0.285714,0.142857,0,0,0.285714,0.0634921,0,0.00793651,0,0.047619,0.349206,0,0.365079,0.246032,0.293651,0.277778,0.047619,0.47619,1,
566,1,0,0,0,0,0.0487805,0,0,0,0,0,0.756098,0,0.134146,0,0.231707,0.231707,0,0.512195,0,0,0.560976,0.0121951,0.695122,0.829268,0,0.512195,0.243902,0.939024,1,
567,1,0,0,0.0272727,0,0,0,0.00909091,0,0,0,0.363636,0,0.0818182,0,0.00909091,0.509091,0,0.681818,0.0181818,0.181818,0.4,0.00909091,0.145455,1,0.0181818,0.654545,0.663636,0.972727,1,
568,1,0,0,0.00980392,0,0,0,0,0,0,0,0.431373,0.137255,0.137255,0,0.107843,0.490196,0,0.637255,0.0588235,0.0196078,0.264706,0,0.343137,0.931373,0.00980392,0.0686275,0.0392157,1,1,
569,1,0,0,0,0,0.133333,0.2,0,0,0,0,0,0.266667,0,0,0,0,0,0.733333,0,0.2,0.155556,0,1,1,0.4,0.688889,0.2,0,1,
570,1,0,0,0.027027,0,0,0,0,0,0,0,0.0540541,0,0,0,0,0.783784,0,1,0.216216,0.0540541,0,0.162162,0,0.918919,0,0.621622,0.837838,1,1,
571,1,0,0,0,0,0,0,0,0,0,0,0,0.291667,0,0,0,0,0,0.0208333,0,0,0.104167,0,0.6875,0.666667,0,0,0,0,1,
572,1,0,0,0.00862069,0,0,0,0,0,0,0,0.456897,0.0775862,0,0,0.0344828,0.155172,0,0,0,0,0.508621,0,0.344828,0.439655,0.25,0,0,0.413793,1,
573,1,0,0,0,0,0.0377358,0,0,0,0,0,1,0.150943,0,0,0.264151,0.283019,0,0,0,0.603774,0,0,0,0.924528,0,0,0.981132,1,1,
574,1,0,0,0.0641026,0.0128205,0,0,0,0,0,0,0.269231,0.0384615,0.0128205,0,0.128205,0,0,0.692308,0,0.025641,0.0384615,0,0.307692,0.74359,0.153846,0.615385,0.474359,0.782051,1,
