Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
93,1,0,0,0,0.0769231,0,0,0,0,0,0,0.589744,0,0,0.282051,0.615385,0.205128,0.307692,1,0.307692,0.333333,0.0769231,0.564103,0.974359,1,0.589744,0.512821,0.871795,0.948718,1,
94,1,0,0.00970874,0,0.320388,0,0,0,0,0.0194175,0.0970874,0.631068,0,0,0.466019,0.38835,0.941748,0,1,0.038835,0.92233,0.747573,0.514563,1,1,0.0776699,0.747573,0.961165,1,1,
95,1,0,0,0,0,0,0.229167,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0.708333,0.4375,0,0,0.145833,0,1,
96,1,0,0,0,0,0,0,0,0,0.0169492,0,0.779661,0,0,0,0.508475,0.372881,0.542373,0.932203,0,0.864407,0.440678,0,0.135593,1,0.644068,0.389831,0.830508,0.830508,1,
97,1,0,0,0,0.0729167,0,0,0,0,0.104167,0,0.947917,0,0,0.583333,0.46875,0.208333,0,1,0.25,0.552083,0.875,0.03125,1,1,0.03125,0.885417,0.9375,1,1,
98,1,0,0,0,0.702128,0,0,0,0,0.106383,0,0.12766,0.968085,0,0,0.117021,0.0425532,0,0,0,0,0.680851,0,0.989362,1,0.5,0,0.117021,0.138298,1,
99,1,0,0,0,0,0,0,0,0,0.0441176,0,0,0.838235,0,0,0.0147059,0,0,0,0,0,0.352941,0,0.676471,0.911765,0.558824,0,0.0294118,0,1,
100,1,0,0,0,0,0,0,0,0,0.107143,0,1,0,0,0,0.285714,0.0714286,0.392857,0.357143,0,0.464286,0.714286,0,0.464286,1,0,0.0357143,0.464286,1,1,
101,1,0,0,0,0.190476,0,0,0,0,0.015873,0,0.269841,0,0,0,0,0,0,0.0952381,0,0,0.428571,0,0.730159,0.809524,0.698413,0,0,0.111111,1,
102,1,0,0,0,0.435897,0,0,0,0,0.564103,0,0.25641,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.025641,0.615385,1,
