Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
1077,1,0,0.0487805,0.0487805,0,0,0.463415,0.146341,0,0,0,0,0.170732,0,0,0,0,0,0,0,0.341463,0.634146,0,0.146341,0.097561,0,0,0.292683,0,1,
1078,1,0,0,0.0294118,0,0.117647,0,0,0,0,0,0,0.823529,0,0,0,0,0,0,0,0,0.147059,0,0.0588235,0,0,0,0,0,1,
1079,1,0,0.0223881,0.253731,0.208955,0.358209,0,0.261194,0,0.0149254,0,0,0.0970149,0,0,0,0,0,0,0,0.0597015,0.268657,0,0.514925,0.231343,0.0597015,0,0.0522388,0,1,
1080,1,0,0,0.72619,0.0357143,0.333333,0,0.392857,0,0,0,0,0.0714286,0,0,0,0,0,0.047619,0,0,0.047619,0,0.345238,0.0595238,0,0.0119048,0,0,1,
1081,1,0.164179,0,0.0447761,0.0298507,0.179104,0,0,0,0.0597015,0,0,0.402985,0,0,0,0,0,0,0,0,0.268657,0,0.313433,0,0.671642,0,0,0,1,
1082,1,0.0229008,0.0687023,0.0839695,0.496183,0.580153,0.114504,0,0,0,0,0,0.229008,0,0,0,0,0.129771,0.21374,0,0,0.51145,0,0.89313,0.80916,0.343511,0.145038,0.114504,0,1,
1083,1,0,0,0,0,0,0,0,0,0.0737705,0,0.959016,0,0,0,0.762295,0.827869,0,0,0,0.0327869,0.393443,0.622951,0,1,0,0,0.0245902,1,1,
1084,1,0,0.794118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.382353,0,1,1,0.705882,0.882353,0,0,1,
1085,1,0,0,0.00617284,0.148148,0.117284,0,0,0,0,0,0,0,0,0,0,0,0,0.259259,0,0.0246914,0.141975,0,0.12963,0.104938,0.0432099,0.160494,0.0123457,0,1,
1086,1,0,0,0,0,0,0,0,0.217822,0,0.00990099,0.564356,0,0,0,0.633663,0.277228,0,0.0693069,0,0,0.455446,0.138614,0,0.554455,0,0,0.29703,0.970297,1,
1087,1,0,0,0,0,0,0,0,0,0,0.037037,1,0,0.296296,0,1,1,1,0.666667,0.037037,0,0,0.111111,0,1,0,0.814815,0.037037,1,1,
1088,1,0,0.466667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786667,0,0,0.426667,0,1,1,0.786667,0.533333,0.12,0,1,
